timestamp,requests,latency_p50,latency_p95,error_rate
2025-05-05T20:30:00.000Z,766,35.5,109.8,0.25
2025-05-05T21:00:00.000Z,959,35.2,103.5,0.62
2025-05-05T21:30:00.000Z,731,32.6,102.5,0.46
2025-05-05T22:00:00.000Z,795,29.4,96.4,0.48
2025-05-05T22:30:00.000Z,953,29.1,89.1,0.55
2025-05-05T23:00:00.000Z,924,28.4,89.5,0.66
2025-05-05T23:30:00.000Z,807,28,86.7,0.28
2025-05-06T00:00:00.000Z,1123,27.7,88.9,0.42
2025-05-06T00:30:00.000Z,972,28.2,90.4,0.48
2025-05-06T01:00:00.000Z,981,29.8,89.2,0.51
2025-05-06T01:30:00.000Z,879,29.5,90.6,0.8
2025-05-06T02:00:00.000Z,1127,29.6,94.4,0.84
2025-05-06T02:30:00.000Z,958,29.7,99.6,0.4
2025-05-06T03:00:00.000Z,1294,31.7,104.3,0.75
2025-05-06T03:30:00.000Z,1233,31.5,107.2,0.54
2025-05-06T04:00:00.000Z,1423,33.2,111,0.57
2025-05-06T04:30:00.000Z,1217,35.7,113,0.42
2025-05-06T05:00:00.000Z,1371,39.9,121.2,0.88
2025-05-06T05:30:00.000Z,1456,41.3,123.9,0.47
2025-05-06T06:00:00.000Z,1767,43.7,127.4,0.98
2025-05-06T06:30:00.000Z,1696,45.4,136.8,0.65
2025-05-06T07:00:00.000Z,1715,47.7,141.5,0.88
2025-05-06T07:30:00.000Z,1990,48.6,147.2,0.43
2025-05-06T08:00:00.000Z,1805,49.9,152.6,0.73
2025-05-06T08:30:00.000Z,1761,51.5,154.5,0.44
2025-05-06T09:00:00.000Z,2063,53.7,165.5,0.62
2025-05-06T09:30:00.000Z,1857,55.5,173.3,0.85
2025-05-06T10:00:00.000Z,1968,57.6,175.7,0.53
2025-05-06T10:30:00.000Z,1937,56.8,180.3,0.75
2025-05-06T11:00:00.000Z,1879,56.9,182.1,0.57
2025-05-06T11:30:00.000Z,2144,57.4,186.9,0.49
2025-05-06T12:00:00.000Z,2087,56.9,183.7,0.49
2025-05-06T12:30:00.000Z,1853,56.1,178.7,0.35
2025-05-06T13:00:00.000Z,1788,55.8,178.2,0.23
2025-05-06T13:30:00.000Z,1719,55.7,176.7,0.7
2025-05-06T14:00:00.000Z,1751,55.6,168.4,0.37
2025-05-06T14:30:00.000Z,1802,56.2,163.4,0.06
2025-05-06T15:00:00.000Z,1489,56,160.6,0.58
2025-05-06T15:30:00.000Z,1591,53.9,163.2,0.27
2025-05-06T16:00:00.000Z,1585,52.8,160,0.85
2025-05-06T16:30:00.000Z,1367,52.3,154.7,0.61
2025-05-06T17:00:00.000Z,1233,49.7,149.5,0.71
2025-05-06T17:30:00.000Z,1189,47.8,137.8,0.6
2025-05-06T18:00:00.000Z,1141,45.2,132.8,0.42
2025-05-06T18:30:00.000Z,1086,42.5,129.3,0.56
2025-05-06T19:00:00.000Z,869,40.6,124.2,0.67
2025-05-06T19:30:00.000Z,949,38.1,118.1,0.88
2025-05-06T20:00:00.000Z,930,37.3,113.7,0.48
2025-05-06T20:30:00.000Z,1160,34.6,106.8,0.51
2025-05-06T21:00:00.000Z,916,33.2,101.5,0.5
2025-05-06T21:30:00.000Z,861,31.9,97.1,0.06
2025-05-06T22:00:00.000Z,949,30.2,94.8,0.41
2025-05-06T22:30:00.000Z,832,29.9,96.3,0.88
2025-05-06T23:00:00.000Z,807,28.5,95.5,0.18
2025-05-06T23:30:00.000Z,866,27.2,93.9,0.68
2025-05-07T00:00:00.000Z,893,27.6,92.7,0.81
2025-05-07T00:30:00.000Z,910,27.4,89.6,0.5
2025-05-07T01:00:00.000Z,790,27,94.5,0.83
2025-05-07T01:30:00.000Z,817,27.4,93,0.62
2025-05-07T02:00:00.000Z,1119,29.4,96.5,1.02
2025-05-07T02:30:00.000Z,1167,31,100.1,0.67
2025-05-07T03:00:00.000Z,1171,33.1,103.3,0.65
2025-05-07T03:30:00.000Z,1223,34.3,106.9,0.33
2025-05-07T04:00:00.000Z,1277,36.4,111,0.55
2025-05-07T04:30:00.000Z,1276,38.6,117.7,0.66
2025-05-07T05:00:00.000Z,1766,39.5,118.2,0.59
2025-05-07T05:30:00.000Z,1671,41.8,118.9,0.62
2025-05-07T06:00:00.000Z,1643,45.4,124.3,0.63
2025-05-07T06:30:00.000Z,1730,47.6,130.5,0.6
2025-05-07T07:00:00.000Z,1748,48.4,135.7,0.69
2025-05-07T07:30:00.000Z,1984,50.5,145.2,0.9
2025-05-07T08:00:00.000Z,1791,52.3,150.5,0.98
2025-05-07T08:30:00.000Z,1810,54.2,155.9,0.47
2025-05-07T09:00:00.000Z,1857,55.3,162.4,0.71
2025-05-07T09:30:00.000Z,1651,55.6,167.1,0.37
2025-05-07T10:00:00.000Z,1717,56.9,176.5,0.7
2025-05-07T10:30:00.000Z,1999,57.9,178.1,0.51
2025-05-07T11:00:00.000Z,1843,56,180.4,0.69
2025-05-07T11:30:00.000Z,2024,56.8,182.2,0.8
2025-05-07T12:00:00.000Z,1844,56.5,181.9,0.79
2025-05-07T12:30:00.000Z,1959,56.8,181.6,0.48
2025-05-07T13:00:00.000Z,1898,56.1,181.3,0.76
2025-05-07T13:30:00.000Z,1729,57.8,181.4,0.56
2025-05-07T14:00:00.000Z,1586,55.9,180.3,0.72
2025-05-07T14:30:00.000Z,1613,55.2,172.4,0.61
2025-05-07T15:00:00.000Z,1530,54.5,167.7,0.49
2025-05-07T15:30:00.000Z,1516,52.6,164.8,0.3
2025-05-07T16:00:00.000Z,1375,51.6,160.5,0.51
2025-05-07T16:30:00.000Z,1290,49.9,155.7,0.66
2025-05-07T17:00:00.000Z,1188,48.1,148.9,0.79
2025-05-07T17:30:00.000Z,1127,45.7,140.7,0.42
2025-05-07T18:00:00.000Z,1220,44.2,133.4,0.22
2025-05-07T18:30:00.000Z,983,41.2,129.5,0.8
2025-05-07T19:00:00.000Z,932,38,124.5,0.5
2025-05-07T19:30:00.000Z,1031,36.7,116.6,0.34
2025-05-07T20:00:00.000Z,882,36.3,115.2,0.64
2025-05-07T20:30:00.000Z,838,35,109.1,0.84
2025-05-07T21:00:00.000Z,730,33.2,106.5,0.3
2025-05-07T21:30:00.000Z,811,32.9,101.6,0.67
2025-05-07T22:00:00.000Z,822,29.9,96,0.76
2025-05-07T22:30:00.000Z,688,28.9,93.9,0.41
2025-05-07T23:00:00.000Z,834,28.3,91.2,0.84
2025-05-07T23:30:00.000Z,927,27.3,83.9,0.67
2025-05-08T00:00:00.000Z,844,26.9,84,0.82
2025-05-08T00:30:00.000Z,820,27.8,84.5,0.78
2025-05-08T01:00:00.000Z,1044,27.6,84.1,0.93
2025-05-08T01:30:00.000Z,950,27.7,85.1,0.51
2025-05-08T02:00:00.000Z,983,28.5,87.7,0.95
2025-05-08T02:30:00.000Z,1002,30.3,89.6,0.71
2025-05-08T03:00:00.000Z,1095,30.6,93.4,0.82
2025-05-08T03:30:00.000Z,1352,31.8,98.7,0.48
2025-05-08T04:00:00.000Z,1304,33.7,106.2,0.28
2025-05-08T04:30:00.000Z,1270,34.4,110,0.83
2025-05-08T05:00:00.000Z,1465,37.1,118.3,0.26
2025-05-08T05:30:00.000Z,1623,38.7,123.3,0.56
2025-05-08T06:00:00.000Z,1753,41.9,132,0.88
2025-05-08T06:30:00.000Z,1569,45.1,136.2,0.61
2025-05-08T07:00:00.000Z,2039,47.2,145.4,0.63
2025-05-08T07:30:00.000Z,1636,48.7,151.9,0.54
2025-05-08T08:00:00.000Z,2059,50.3,155.2,0.6
2025-05-08T08:30:00.000Z,2085,51.3,161.1,1.26
2025-05-08T09:00:00.000Z,2087,52.6,165.4,0.82
2025-05-08T09:30:00.000Z,2164,54.1,168.4,0.48
2025-05-08T10:00:00.000Z,1750,56.1,173.1,0.73
2025-05-08T10:30:00.000Z,2118,58.6,175.1,0.78
2025-05-08T11:00:00.000Z,1735,60.1,175.9,0.69
2025-05-08T11:30:00.000Z,2096,61.6,178.8,0.95
2025-05-08T12:00:00.000Z,1799,61.8,176.7,0.66
2025-05-08T12:30:00.000Z,1849,61.2,172.7,0.33
2025-05-08T13:00:00.000Z,1774,60.4,174.4,1.02
2025-05-08T13:30:00.000Z,1805,60.2,177.1,0.86
2025-05-08T14:00:00.000Z,1803,59.3,170.1,0.3
2025-05-08T14:30:00.000Z,1712,58,164.3,0.57
2025-05-08T15:00:00.000Z,1679,56,160,0.83
2025-05-08T15:30:00.000Z,1570,55.4,157.5,0.29
2025-05-08T16:00:00.000Z,1386,53.1,149.5,0.39
2025-05-08T16:30:00.000Z,1376,51.6,145.1,0.72
2025-05-08T17:00:00.000Z,1339,49.3,140.9,0.93
2025-05-08T17:30:00.000Z,1311,47.9,136.6,0.15
2025-05-08T18:00:00.000Z,1416,45.3,126.5,0.26
2025-05-08T18:30:00.000Z,1195,42.9,121.2,0.68
2025-05-08T19:00:00.000Z,923,40.5,116.5,0.62
2025-05-08T19:30:00.000Z,950,38.5,113.6,0.42
2025-05-08T20:00:00.000Z,759,37.1,108.9,0.33
2025-05-08T20:30:00.000Z,1067,35.9,103.4,0.29
2025-05-08T21:00:00.000Z,768,34.2,95,0.64
2025-05-08T21:30:00.000Z,834,34.5,90,0.5
2025-05-08T22:00:00.000Z,654,32.7,86.1,0.67
2025-05-08T22:30:00.000Z,676,30.9,82.2,0.94
2025-05-08T23:00:00.000Z,754,29.3,78.3,0.74
2025-05-08T23:30:00.000Z,803,35.4,104.3,1.39
2025-05-09T00:00:00.000Z,747,41.9,122.9,1.51
2025-05-09T00:30:00.000Z,946,48.6,144.4,1.57
2025-05-09T01:00:00.000Z,974,54.4,159.2,1.7
2025-05-09T01:30:00.000Z,1043,58.6,171.1,1.77
2025-05-09T02:00:00.000Z,1086,63.6,189.4,1.71
2025-05-09T02:30:00.000Z,924,66.4,199.1,1.59
2025-05-09T03:00:00.000Z,1203,73,224.8,1.49
2025-05-09T03:30:00.000Z,1139,78.5,243.5,1.63
2025-05-09T04:00:00.000Z,1313,84.7,266.2,1.68
2025-05-09T04:30:00.000Z,1528,90.4,276.2,1.39
2025-05-09T05:00:00.000Z,1472,95.6,294.1,1.84
2025-05-09T05:30:00.000Z,1543,101.4,308.4,1.44
2025-05-09T06:00:00.000Z,1867,108.6,321.8,1.79
2025-05-09T06:30:00.000Z,1646,113.6,340,1.48
2025-05-09T07:00:00.000Z,1829,119.8,363.6,1.21
2025-05-09T07:30:00.000Z,1886,124.3,379.5,1.98
2025-05-09T08:00:00.000Z,1949,129.1,396,1.48
2025-05-09T08:30:00.000Z,1862,133.8,410.8,1.29
2025-05-09T09:00:00.000Z,1789,138.9,424.2,1.16
2025-05-09T09:30:00.000Z,1941,141.4,435.8,1.81
2025-05-09T10:00:00.000Z,2166,146.1,442.7,1.59
2025-05-09T10:30:00.000Z,2044,149.2,449.6,1.68
2025-05-09T11:00:00.000Z,1711,133.3,402.6,0.45
2025-05-09T11:30:00.000Z,1991,120.5,362.4,0.45
2025-05-09T12:00:00.000Z,2038,109.7,328.8,0.54
2025-05-09T12:30:00.000Z,2088,100.8,302.8,0.48
2025-05-09T13:00:00.000Z,1744,93.3,280.8,0.2
2025-05-09T13:30:00.000Z,1684,88.1,262,0.59
2025-05-09T14:00:00.000Z,1531,81.4,242,0.99
2025-05-09T14:30:00.000Z,1863,76.8,226.5,0.72
2025-05-09T15:00:00.000Z,1379,70.7,213.6,0.45
2025-05-09T15:30:00.000Z,1548,66.5,199.6,0.93
2025-05-09T16:00:00.000Z,1455,63.8,192.6,0.32
2025-05-09T16:30:00.000Z,1500,61.6,185.3,0.96
2025-05-09T17:00:00.000Z,1136,57.4,168.8,0.27
2025-05-09T17:30:00.000Z,1420,53.8,159,0.42
2025-05-09T18:00:00.000Z,1110,49.9,147.1,0.58
2025-05-09T18:30:00.000Z,1184,46.2,138.7,0.67
2025-05-09T19:00:00.000Z,985,43.3,132.7,0.55
2025-05-09T19:30:00.000Z,877,40.3,130,0.45
2025-05-09T20:00:00.000Z,777,38.2,115.5,0.52
2025-05-09T20:30:00.000Z,957,35.8,113.5,0.71
2025-05-09T21:00:00.000Z,775,34.2,109.7,0.71
2025-05-09T21:30:00.000Z,646,32.8,100.2,0.85
2025-05-09T22:00:00.000Z,632,30.6,92.9,0.7
2025-05-09T22:30:00.000Z,873,29.5,90.3,0.22
2025-05-09T23:00:00.000Z,1010,28.8,92.5,0.81
2025-05-09T23:30:00.000Z,766,29.4,84.9,0.38
2025-05-10T00:00:00.000Z,830,29.5,85.3,0.4
2025-05-10T00:30:00.000Z,780,28.1,82.1,0.62
2025-05-10T01:00:00.000Z,1104,29.7,87,0.97
2025-05-10T01:30:00.000Z,966,29.2,86,0.55
2025-05-10T02:00:00.000Z,1208,31,90.1,0.76
2025-05-10T02:30:00.000Z,1257,32.7,92.3,0.24
2025-05-10T03:00:00.000Z,1308,32.9,95,0.53
2025-05-10T03:30:00.000Z,1168,34.1,98.9,0.44
2025-05-10T04:00:00.000Z,1440,36.7,103.8,0.44
2025-05-10T04:30:00.000Z,1557,40.1,107.2,0.66
2025-05-10T05:00:00.000Z,1351,40.6,113.3,0.62
2025-05-10T05:30:00.000Z,1438,41.7,117,0.67
2025-05-10T06:00:00.000Z,1794,42.5,122.1,0.5
2025-05-10T06:30:00.000Z,1690,43.5,128.1,0.56
2025-05-10T07:00:00.000Z,1895,45.5,136.5,0.38
2025-05-10T07:30:00.000Z,1842,47.8,144.3,0.79
2025-05-10T08:00:00.000Z,1913,48.7,146.3,1.06
2025-05-10T08:30:00.000Z,1924,49.8,150.5,0.54
2025-05-10T09:00:00.000Z,1878,51.9,154.6,0.78
2025-05-10T09:30:00.000Z,2179,53.3,158.3,1
2025-05-10T10:00:00.000Z,2250,54,166.7,0.59
2025-05-10T10:30:00.000Z,2112,55.1,173.6,0.33
2025-05-10T11:00:00.000Z,1977,55.6,175.5,0.79
2025-05-10T11:30:00.000Z,1906,56,175.8,0.79
2025-05-10T12:00:00.000Z,1966,55.7,178.8,0.51
2025-05-10T12:30:00.000Z,1814,55.4,177.6,0.81
2025-05-10T13:00:00.000Z,1777,55.1,179.6,0.68
2025-05-10T13:30:00.000Z,1968,56,182.1,0.48
2025-05-10T14:00:00.000Z,1632,55.9,181.8,0.43
2025-05-10T14:30:00.000Z,1551,55.8,180.1,0
2025-05-10T15:00:00.000Z,1503,54.3,170.6,1.07
2025-05-10T15:30:00.000Z,1408,53.1,167.6,0.63
2025-05-10T16:00:00.000Z,1302,51.2,160.2,0.28
2025-05-10T16:30:00.000Z,1244,50.2,157,0.44
2025-05-10T17:00:00.000Z,1238,47.8,148.7,0.5
2025-05-10T17:30:00.000Z,1234,46.7,144,0.4
2025-05-10T18:00:00.000Z,1064,45.2,140.7,0.63
2025-05-10T18:30:00.000Z,1013,44.5,133,0.53
2025-05-10T19:00:00.000Z,1188,41.9,128.1,0.35
2025-05-10T19:30:00.000Z,956,40.5,121,0.7
2025-05-10T20:00:00.000Z,881,37.2,115,0.83
2025-05-10T20:30:00.000Z,669,34.8,109.4,0.46
2025-05-10T21:00:00.000Z,939,33.2,102.2,0.64
2025-05-10T21:30:00.000Z,862,32,100.8,0.43
2025-05-10T22:00:00.000Z,813,31.7,99.8,0.66
2025-05-10T22:30:00.000Z,1020,31.1,97.8,0.54
2025-05-10T23:00:00.000Z,662,29.6,96.3,0.28
2025-05-10T23:30:00.000Z,761,30.4,91.7,0.72
2025-05-11T00:00:00.000Z,960,30.9,90.9,0.47
2025-05-11T00:30:00.000Z,854,31.2,87.2,1
2025-05-11T01:00:00.000Z,969,32.2,85.1,0.59
2025-05-11T01:30:00.000Z,989,31.4,85.7,0.8
2025-05-11T02:00:00.000Z,1203,32.2,90.1,0.46
2025-05-11T02:30:00.000Z,1128,33.9,96.5,0.22
2025-05-11T03:00:00.000Z,1312,34.6,97.8,0.51
2025-05-11T03:30:00.000Z,1503,35.3,98.5,0.46
2025-05-11T04:00:00.000Z,1624,36.1,110,0.61
2025-05-11T04:30:00.000Z,1498,36.9,112.4,1.03
2025-05-11T05:00:00.000Z,1580,37.7,119.4,0.09
2025-05-11T05:30:00.000Z,1764,40.4,129.3,0.36
2025-05-11T06:00:00.000Z,1692,43.3,132,0.82
2025-05-11T06:30:00.000Z,1753,45.5,135.4,0.75
2025-05-11T07:00:00.000Z,1711,47.6,144,0.75
2025-05-11T07:30:00.000Z,1881,50.2,150.5,0.73
2025-05-11T08:00:00.000Z,1987,51.3,156.3,0.64
2025-05-11T08:30:00.000Z,2042,53.1,158.3,0.5
2025-05-11T09:00:00.000Z,1925,54.4,161.9,0.79
2025-05-11T09:30:00.000Z,1633,55.1,165.2,0.72
2025-05-11T10:00:00.000Z,2067,55.7,164.5,0.71
2025-05-11T10:30:00.000Z,1887,56.6,170,0.85
2025-05-11T11:00:00.000Z,1924,58,172.4,0.32
2025-05-11T11:30:00.000Z,1981,58.8,175.4,0.31
2025-05-11T12:00:00.000Z,1903,59.8,176.1,0.95
2025-05-11T12:30:00.000Z,1831,58.6,173.3,1
2025-05-11T13:00:00.000Z,1776,58.7,172.9,0.35
2025-05-11T13:30:00.000Z,1885,56.7,174.3,0.98
2025-05-11T14:00:00.000Z,1658,54.8,169.2,0.96
2025-05-11T14:30:00.000Z,1691,53.7,170.6,0.55
2025-05-11T15:00:00.000Z,1805,51.9,167.5,0.19
2025-05-11T15:30:00.000Z,1585,51.3,165,0.42
2025-05-11T16:00:00.000Z,1611,49.6,157.6,0.7
2025-05-11T16:30:00.000Z,1313,48.7,150.2,1.15
2025-05-11T17:00:00.000Z,1364,47.6,147.3,0.69
2025-05-11T17:30:00.000Z,1183,45.4,141,0.68
2025-05-11T18:00:00.000Z,1308,43.4,134.5,0.41
2025-05-11T18:30:00.000Z,919,41.5,130.2,0.82
2025-05-11T19:00:00.000Z,965,39,121.8,0.42
2025-05-11T19:30:00.000Z,974,38.2,117.5,0.44
2025-05-11T20:00:00.000Z,900,36.7,108.6,0.97
2025-05-11T20:30:00.000Z,941,35.3,104.7,0.31
2025-05-11T21:00:00.000Z,713,34.1,102.3,1.28
2025-05-11T21:30:00.000Z,954,32.9,99,0.52
2025-05-11T22:00:00.000Z,893,31.7,94,0.56
2025-05-11T22:30:00.000Z,846,30.6,92.1,0.41
2025-05-11T23:00:00.000Z,974,29.5,87.2,0.3
2025-05-11T23:30:00.000Z,854,28.7,84.9,0.79
