batch,line,shift,throughput,defect_rate,yield
57,Line A,Night,198.7,1.23,96.05
58,Line B,Day,147.3,2.42,93.68
59,Line C,Night,102.4,2.34,93.16
60,Line A,Day,162.7,2,94.06
61,Line B,Night,168.1,2.5,93.59
62,Line C,Day,104.8,3.78,89.55
63,Line A,Night,176.1,1.63,95.98
64,Line B,Day,156.7,1.69,94.96
65,Line C,Night,99.8,2.2,93.3
66,Line A,Day,228.9,2.01,94.49
67,Line B,Night,151.4,1.05,97.18
68,Line C,Day,87.8,2.67,92.68
69,Line A,Night,185.3,0.81,97.26
70,Line B,Day,136.8,1.66,94.68
71,Line C,Night,90.7,2.9,91.86
72,Line A,Day,218.4,1.82,94.64
73,Line B,Night,143.5,2.38,93.62
74,Line C,Day,109.2,2.31,93.53
75,Line A,Night,166.7,2.32,93.9
76,Line B,Day,186.5,1.37,95.41
77,Line C,Night,105.4,2.12,93.86
78,Line A,Day,204.9,1.86,94.62
79,Line B,Night,160.1,1.39,95.9
80,Line C,Day,101.3,2.2,93.58
81,Line A,Night,167.3,0.78,97.87
82,Line B,Day,192.2,1.28,96.28
83,Line C,Night,68.3,2.3,93.65
84,Line A,Day,175.7,2.04,94.49
85,Line B,Night,163.6,0.6,97.59
86,Line C,Day,82.1,3.36,91.2
87,Line A,Night,180.1,2.3,93.95
88,Line B,Day,200,2.44,93.24
89,Line C,Night,104.9,2.43,93.1
90,Line A,Day,160.5,1.25,96.9
91,Line B,Night,167.2,1.89,94.41
92,Line C,Day,115.6,1.91,94.64
93,Line A,Night,167.6,1.56,95.31
94,Line B,Day,100,1.96,94.71
95,Line C,Night,125.4,3.66,90.8
96,Line A,Day,177.3,0.24,98.49
97,Line B,Night,150.3,1.05,96.67
98,Line C,Day,137.3,2.29,93.37
99,Line A,Night,210.3,0.05,99.4
100,Line B,Day,170.7,1.05,96.06
101,Line C,Night,117.5,1.68,94.97
102,Line A,Day,190.5,1.18,96.67
103,Line B,Night,161.8,2.01,94.04
104,Line C,Day,117.6,2.3,94.09
105,Line A,Night,187.2,1.85,94.45
106,Line B,Day,143.3,1.87,94.59
107,Line C,Night,90.9,2.88,91.92
108,Line A,Day,165.1,2.22,93.36
109,Line B,Night,126.6,0.86,97.93
110,Line C,Day,91.3,3.37,90.46
111,Line A,Night,182.8,1.22,95.91
112,Line B,Day,155.4,1.03,97.08
113,Line C,Night,105.9,2.12,94.02
114,Line A,Day,200.2,1.59,95.56
115,Line B,Night,154.5,1.56,96.08
116,Line C,Day,100.6,1.6,95.49
117,Line A,Night,183.2,1.87,94.12
118,Line B,Day,185,1.55,95.72
119,Line C,Night,122.1,1.44,95.25
120,Line A,Day,127.3,1.61,95.61
121,Line B,Night,187.9,1.79,94.66
122,Line C,Day,121,2.19,94.25
123,Line A,Night,155.8,1.45,96.21
124,Line B,Day,144.9,1.59,94.74
125,Line C,Night,106.4,1.96,95.27
126,Line A,Day,170.1,0.82,97.66
127,Line B,Night,129.2,1.1,96.52
128,Line C,Day,97.2,2.45,93.95
129,Line A,Night,172.1,0.28,98.58
130,Line B,Day,140.9,2.04,94.11
131,Line C,Night,106.9,2.06,93.59
132,Line A,Day,166.2,1.3,96.77
133,Line B,Night,145.2,2.8,91.8
134,Line C,Day,63,2.41,93.97
135,Line A,Night,121.2,1.26,96.91
136,Line B,Day,155.9,1.8,94.8
137,Line C,Night,105.9,1.84,94.56
138,Line A,Day,151.4,1.4,96.35
139,Line B,Night,180.9,1.85,94.94
140,Line C,Day,112.8,2.66,92.51
141,Line A,Night,183.1,1.7,95.39
142,Line B,Day,152.3,0.35,98.41
143,Line C,Night,69.1,3.41,91.78
144,Line A,Day,138.6,0.8,97.92
145,Line B,Night,149.3,2.19,94.74
146,Line C,Day,113.5,3.01,92.09
147,Line A,Night,217,1.88,94.61
148,Line B,Day,132.5,1.41,95.31
149,Line C,Night,117.2,1.82,95.05
150,Line A,Day,212.4,0.98,96.22
151,Line B,Night,164.2,2.03,93.92
152,Line C,Day,79.2,2.06,93.97
153,Line A,Night,198.9,0.73,96.78
154,Line B,Day,155.1,0.5,97.32
155,Line C,Night,101.7,3.32,91.76
156,Line A,Day,175.7,1.17,96.23
157,Line B,Night,177.3,1.56,95.24
158,Line C,Day,111.5,2.36,93.27
159,Line A,Night,189,0.99,97.01
160,Line B,Day,181.2,1.49,96.06
161,Line C,Night,113.6,2.25,93.44
162,Line A,Day,197.2,2.21,93.19
163,Line B,Night,170.6,2.21,94.41
164,Line C,Day,97.4,1.86,94.21
165,Line A,Night,162.5,1.93,94.29
166,Line B,Day,181,1.75,94.82
167,Line C,Night,65.5,3.02,92.21
168,Line A,Day,209.9,2.29,94.25
169,Line B,Night,124.2,1.82,95.49
170,Line C,Day,150.2,2.06,93.94
171,Line A,Night,195.1,2.03,93.7
172,Line B,Day,123.8,1.68,94.75
173,Line C,Night,81.1,2.88,92.24
174,Line A,Day,205,2.44,93.25
175,Line B,Night,148.8,0.82,97.94
176,Line C,Day,120.8,2.57,93.25
177,Line A,Night,157.8,1.57,95.3
178,Line B,Day,176.2,0.34,98.78
179,Line C,Night,133.9,2.01,94.62
180,Line A,Day,146.8,0.42,98.45
181,Line B,Night,173.6,2.28,93.76
182,Line C,Day,121.4,1.89,94.65
183,Line A,Night,232.3,2.42,93.05
184,Line B,Day,132.2,2.18,93.91
185,Line C,Night,115,2.14,93.56
186,Line A,Day,144.4,0.06,98.53
187,Line B,Night,151.3,1.75,94.68
188,Line C,Day,94.4,3.29,91.78
189,Line A,Night,199,1.63,95.73
190,Line B,Day,165.3,0.39,97.94
191,Line C,Night,121.6,1.35,96.69
192,Line A,Day,213.4,1.59,96.12
193,Line B,Night,174.4,2.01,94.44
194,Line C,Day,113.2,2.91,92.95
195,Line A,Night,184,0.63,98.46
196,Line B,Day,178.4,0.98,96.48
197,Line C,Night,82.1,3.03,91.89
198,Line A,Day,158.2,1.92,94.15
199,Line B,Night,152.4,1.15,97.09
200,Line C,Day,124.3,1.65,95.15
201,Line A,Night,202.7,0.82,97.93
202,Line B,Day,159.7,1.88,94.41
203,Line C,Night,137.6,2.23,94.03
204,Line A,Day,171,1.83,94.62
205,Line B,Night,126.3,1.62,94.82
206,Line C,Day,135.2,2.17,94.47
207,Line A,Night,196.8,2.39,93.83
208,Line B,Day,170,2.19,93.59
209,Line C,Night,65.4,1.25,96.56
210,Line A,Day,205.7,1.69,95.69
211,Line B,Night,176.7,1.96,94.57
212,Line C,Day,79.3,2.43,93.61
213,Line A,Night,212,0.88,96.68
214,Line B,Day,157.1,1.98,94.9
215,Line C,Night,93.9,2.71,92.74
216,Line A,Day,144.9,1.19,96.45
217,Line B,Night,151.2,0.63,98.3
218,Line C,Day,99.6,2.23,93.96
219,Line A,Night,206.8,0.29,98.4
220,Line B,Day,114,1.17,96.17
221,Line C,Night,127.1,1.94,95.01
222,Line A,Day,165.4,0.8,96.88
223,Line B,Night,192.8,1.5,94.95
224,Line C,Day,148.4,2.78,92.57
225,Line A,Night,159.6,1.55,95.78
226,Line B,Day,144.6,2.67,92.97
227,Line C,Night,118.9,2.07,94.5
228,Line A,Day,168.3,1.52,96.19
229,Line B,Night,139.1,0.69,97.57
230,Line C,Day,115.4,2.3,93.02
231,Line A,Night,173.6,1.58,96.04
232,Line B,Day,149,2.53,93.8
233,Line C,Night,103.5,1.42,95.29
234,Line A,Day,175.7,1.22,95.79
235,Line B,Night,138.6,1.25,96.26
236,Line C,Day,115.3,2.17,94.67
237,Line A,Night,143.6,0.75,97.62
238,Line B,Day,171.2,0.95,96.89
239,Line C,Night,114,2.12,94.35
240,Line A,Day,175.7,1.73,94.94
